"GB" "gamma"
"GB48978" -0.29742308485597
"GB48974" 0.172904533735232
"GB48979" 1.06156386430943
"GB48980" 1.26913828348991
"GB48981" 0.719586946303959
"GB48982" 0.822369203467363
"GB48973" 0.216631348543818
"GB48983" -0.656182652584659
"GB48972" 0.153343544251192
"GB48970" -0.916071036916825
"GB48984" -0.596961476213969
"GB48985" -0.127789351694407
"GB48986" 2.94231534388897
"GB48987" 0.333420542838569
"GB48988" 0.349349155843473
"GB48989" -0.567687645323918
"GB48990" 0.0289235399875007
"GB48991" -0.8176894150116
"GB48969" 2.43155766956911
"GB48992" -0.640069378049554
"GB48967" 0.236459723581922
"GB48993" 0.335821223285111
"GB48994" -0.466394795593386
"GB48966" 0.066570867458651
"GB48996" -0.459795185710109
"GB48965" 0.264406059692516
"GB48997" -0.614553961941616
"GB48998" -0.49860447919144
"GB48999" 0.716001929495954
"GB49000" 0.167816559330367
"GB48963" -0.16264721005601
"GB49001" -0.0583988281755117
"GB49002" 0.0866989615805096
"GB49003" 0.53240375073136
"GB49004" 0.316291171814367
"GB48962" 0.543790183399761
"GB48961" 0.0475886203150633
"GB48960" 1.35582861319887
"GB48958" 0.770395248241729
"GB51836" -0.429439828121346
"GB51838" -1.0781370321913
"GB51839" 0.153815776160532
"GB51840" 2.82770047476804
"GB51841" 6.46478228609188
"GB51842" 1.18465414781664
"GB51843" 0.939225795691138
"GB51844" 2.03856433773925
"GB51835" 3.19680055050182
"GB51845" 0.227127216104525
"GB51834" 2.04877887805943
"GB51833" 0.579864354298871
"GB51846" 0.59530773696519
"GB51847" 0.427409993042233
"GB51832" 0.187598580917027
"GB51849" 0.0311455073481184
"GB51850" 0.254774992599202
"GB51851" 0.160017434389026
"GB51831" -0.325148247149143
"GB51852" -0.383631443924089
"GB51854" -0.316408975732962
"GB51830" -0.120979929932195
"GB51855" -0.227030903010561
"GB51828" -0.205967996180887
"GB51827" -0.261311186354586
"GB51826" -0.46960677992688
"GB51825" -0.399132983623019
"GB51857" -0.607605420497374
"GB51822" 0.117220438851333
"GB51821" 0.846850355108131
"GB51820" 0.657603755701453
"GB51819" 0.833375268458951
"GB51818" 0.670567207695243
"GB51817" 2.47555039023062
"GB51816" -0.485200271202916
"GB51815" 1.06704868023609
"GB51814" 1.72260965437317
