GB	cluster
GB50591	C6
GB50594	C1
GB50620	C5
GB50621	C3
GB50622	C5
GB50623	C4
GB50672	C1
GB50672	C3
GB50677	C4
GB50679	C1
GB50688	C5
GB50690	C2
GB50691	C1
GB50718	C3
GB50727	C8
GB50732	C5
GB50742	C2
GB50746	C6
GB50751	C8
GB50753	C1
GB50763	C2
GB50764	C3
GB50777	C4
GB50779	C1
GB50795	C2
GB50805	C2
GB50822	C3
GB50847	C2
GB50849	C5
GB50854	C3
GB50857	C5
GB50858	C4
GB50864	C5
GB50870	C6
GB50880	C4
GB50890	C3
GB50925	C1
GB50928	C8
GB50942	C3
GB50942	C3
GB50942	C8
GB50943	C1
GB50944	C5
GB50945	C1
GB50958	C3
GB50967	C1
GB50978	C7
GB50993	C1
GB50995	C2
GB50996	C1
GB50998	C5
GB51014	C3
GB51015	C1
GB51029	C6
GB51031	C7
GB51045	C6
GB51048	C3
GB51059	C6
GB51066	C5
GB51071	C8
GB51085	C6
GB51106	C1
GB51110	C5
GB51115	C1
GB51133	C1
GB51134	C5
GB51160	C1
GB51163	C8
GB51173	C6
GB51188	C3
GB51190	C3
GB51204	C8
GB51219	C5
GB51224	C5
GB51231	C4
GB51237	C4
GB51247	C5
GB51276	C2
GB51278	C4
GB51332	C4
GB51366	C2
GB51380	C6
GB51395	C1
GB51421	C1
GB51426	C2
GB51427	C1
GB51429	C4
GB51433	C3
GB51440	C5
GB51455	C5
GB51463	C2
GB51481	C6
GB51484	C8
GB51499	C8
GB51503	C1
GB51504	C8
GB51512	C4
GB51518	C6
GB51518	C7
GB51521	C7
GB51526	C8
GB51528	C2
GB51534	C5
GB51537	C6
GB51541	C1
GB51542	C1
GB51550	C8
GB51553	C1
GB51564	C8
GB51570	C1
GB51573	C7
GB51579	C3
GB51587	C2
GB51592	C1
GB51597	C2
GB51602	C5
GB51606	C3
GB51614	C8
GB51615	C3
GB51617	C6
GB51622	C3
GB51624	C2
GB51625	C5
GB51627	C3
GB51644	C1
GB51646	C3
GB51658	C6
GB51675	C3
GB51691	C3
GB51694	C4
GB51700	C7
GB51703	C7
GB51707	C8
GB51709	C7
GB51717	C1
GB51718	C6
GB51725	C1
GB51727	C2
GB51743	C2
GB51748	C3
GB51748	C5
GB51749	C3
GB51756	C6
GB51757	C6
GB51794	C5
GB51802	C6
GB51843	C8
GB51854	C7
GB51866	C1
GB51900	C4
GB51904	C3
GB51909	C3
GB51910	C1
GB51911	C7
GB51916	C4
GB51954	C1
GB51977	C4
GB51984	C6
GB51994	C5
GB52010	C1
GB52012	C6
GB52028	C3
