GB	pattern
GB42384	C2
GB49654	C2
GB52754	C2
GB49779	C2
GB45280	C2
GB43125	C2
GB50145	C2
GB55920	C2
GB54102	C2
GB50284	C2
GB44355	C2
GB48104	C2
GB52692	C2
GB41492	C2
GB49357	C2
GB46594	C2
GB46423	C2
GB40358	C2
GB49119	C2
GB52744	C2
GB41843	C2
GB43353	C2
GB47183	C2
GB42838	C2
GB42704	C2
GB44518	C2
GB55640	C2
GB50638	C2
GB51614	C2
GB45498	C2
GB50606	C2
GB47767	C2
GB53418	C2
GB43481	C2
GB45042	C2
GB51721	C2
GB40308	C2
GB50366	C2
GB54920	C2
GB46977	C2
GB44557	C2
GB49081	C2
GB51256	C2
GB55157	C2
GB48313	C2
GB53948	C2
GB41258	C2
GB41259	C2
GB42549	C2
GB46945	C2
GB52751	C2
GB46005	C2
GB55011	C2
GB54101	C2
GB43872	C2
GB40120	C2
GB45956	C2
GB45628	C2
GB53955	C2
GB53882	C2
GB42280	C2
GB43623	C2
GB42279	C2
GB47313	C2
GB51691	C2
GB45722	C2
GB54958	C2
GB46275	C2
GB53147	C2
GB45761	C2
GB55902	C2
GB44934	C2
GB45358	C2
GB47412	C2
GB55959	C2
GB44991	C2
GB45360	C2
GB53981	C2
GB40592	C2
GB54425	C2
GB53884	C2
GB53136	C2
GB53301	C2
GB53960	C2
GB46532	C2
GB41300	C2
GB46255	C2
GB51542	C2
GB42949	C2
GB54363	C2
GB48064	C2
GB41450	C2
GB41447	C2
GB41909	C2
GB53581	C2
GB53024	C2
GB47469	C2
GB40318	C2
GB55103	C2
GB44889	C2
GB52151	C2
GB51700	C2
GB42231	C2
GB54528	C2
GB43891	C2
GB40717	C2
GB46292	C2
GB40100	C2
GB47401	C2
GB50854	C2
GB41598	C2
GB43277	C2
GB45169	C2
GB47277	C2
GB49306	C2
GB41633	C2
GB52644	C2
GB43482	C2
GB54216	C2
GB40500	C2
GB52790	C2
GB53958	C2
GB44673	C2
GB51866	C2
GB47627	C2
GB48996	C2
GB44063	C2
GB52662	C2
GB48150	C2
GB41769	C2
GB47007	C2
GB45864	C2
GB47247	C2
GB54957	C2
GB47998	C2
GB42694	C2
GB50414	C2
GB49813	C2
GB42690	C2
GB42348	C2
GB47656	C2
GB46832	C2
GB53359	C2
GB51592	C2
GB43135	C2
GB51623	C2
GB40992	C2
GB42845	C2
GB47542	C2
GB52323	C2
GB45342	C2
GB41661	C2
GB46094	C2
GB54339	C2
GB40635	C2
GB52665	C2
GB45824	C2
GB45284	C2
GB46801	C2
GB40563	C2
GB55130	C2
GB49485	C2
GB44144	C2
GB55506	C2
GB41304	C2
GB52729	C2
GB54842	C2
GB42773	C2
GB47554	C2
GB53152	C2
GB50942	C2
GB41897	C2
GB49615	C2
GB48726	C2
GB40811	C2
GB41309	C2
GB52960	C2
GB54565	C2
GB53214	C2
GB53595	C2
GB41433	C2
GB44391	C2
GB54644	C2
GB55248	C2
GB54550	C2
GB51927	C2
GB48381	C2
GB49923	C2
GB48591	C2
GB55689	C2
GB51796	C2
GB53692	C2
GB54307	C2
GB40743	C2
GB40834	C2
GB53680	C2
GB43929	C2
GB40692	C2
GB48668	C2
GB51025	C2
GB43609	C2
GB40178	C2
GB54614	C2
GB55341	C2
GB45585	C2
GB46343	C2
GB52967	C2
GB49669	C2
GB43811	C2
GB52633	C2
GB47519	C2
GB47216	C2
GB51152	C2
GB49695	C2
GB41185	C2
GB49125	C2
GB53555	C2
GB51559	C2
GB47357	C2
GB53386	C2
GB52182	C2
GB45604	C2
GB46931	C2
GB46939	C2
GB41764	C2
GB41116	C2
GB52135	C2
GB40772	C2
GB53752	C2
GB43679	C2
GB47166	C2
GB53845	C2
GB54529	C2
GB51098	C2
GB42392	C2
GB40214	C2
GB54021	C2
GB46088	C2
GB51154	C2
GB54727	C2
GB54002	C2
GB51176	C2
GB47088	C2
GB52481	C2
GB40182	C2
GB46418	C2
GB53423	C2
GB43658	C2
GB52062	C2
GB50717	C2
GB52149	C2
GB41377	C2
GB44922	C2
GB47262	C2
GB49063	C2
GB47150	C2
GB51203	C2
GB40144	C2
GB46940	C2
GB52474	C2
GB45772	C2
GB54575	C2
GB42116	C2
GB45621	C2
GB47801	C2
GB51951	C2
GB50618	C2
GB42309	C2
GB54539	C2
GB44797	C2
GB51777	C2
GB53806	C2
GB53283	C2
GB44446	C2
GB49630	C2
GB51323	C2
GB44277	C2
GB43371	C2
GB43752	C2
GB54523	C2
GB43726	C2
GB53058	C2
GB49699	C2
GB41613	C2
GB40602	C2
GB44401	C2
GB52931	C2
GB45588	C2
GB43334	C2
GB52139	C2
GB53640	C2
GB51449	C2
GB47175	C2
GB44394	C2
GB50721	C2
GB53051	C2
GB51933	C2
GB43323	C2
GB52540	C2
GB43328	C2
GB42443	C2
GB42123	C2
GB48212	C2
GB52000	C2
GB52402	C2
GB47072	C2
GB43997	C2
GB47860	C2
GB43041	C2
GB41587	C2
GB49007	C2
GB47867	C2
GB41101	C2
GB43785	C2
GB48732	C2
GB55954	C2
GB43356	C2
GB46829	C2
GB52886	C2
GB42288	C2
GB50293	C2
GB55254	C2
GB48287	C2
GB42622	C2
GB55133	C2
GB53510	C2
GB46825	C2
GB46837	C2
GB46824	C2
GB41838	C2
GB44700	C2
GB54561	C2
GB41221	C2
GB43342	C2
GB46394	C2
GB54249	C2
GB45953	C2
GB49677	C2
GB41790	C2
GB52678	C2
GB42060	C2
GB43664	C2
GB51466	C2
GB51477	C2
GB43665	C2
GB47526	C2
